X,Y,Sl__No,Name_of_th,Address,Category,Latitude,Longitude,icon_url
79.8608,12.0214,1,Woodlands Wines,"No.28, ECR Road, Chinnakalapet, Puducherry",FL1,12.02140000000,79.86080000000,./0.png
79.6326,11.9968,2,Clive Wines,"Cad.No.3, Kondareddypalayam Junction, Thiruvannamalai Road, Thirukkanur, Puducherry",FL1,11.99680000000,79.63260000000,./0.png
79.7357098,11.782773,3,Fortune Enterprises,"No.78, Old Thirupadhripuliur Road, R.S.No.197/2, Kuruvinatham Revenue Village, Soriyankuppam, Bahour Commune, Puducherry",FL1,11.78277300000,79.73570980000,./0.png
79.7678078,11.7917593,4,Ammaa Traders,"R.S.No.46/2, PondyCuddalore Main Road, Uchimedu, Bahour
Commune, Puducherry",FL1,11.79175930000,79.76780780000,./0.png
79.6036355,11.8735744,5,Anupama Wines,"3C(Old No.19) Valavanur Road, Maducarai, Puducherry",FL1,11.87357440000,79.60363550000,./0.png
79.760563,12.002673,6,Devi Wines,"19/3 & 19/4, Pondy Mailam Road, Sedurapet, Puducherry",FL1,12.00267300000,79.76056300000,./0.png
79.7996,12.0242,7,Taurus & Taurus (India) Enterprises Pvt. Ltd.,"R.S.No. 35/6, Plot No.9,
School Street, Alankuppam
Revenue Village,
Alankuppam, Puducherry.
",FL1,12.02420000000,79.79960000000,./0.png
79.8685,12.0412,8,Premier Enterprises,"R.S.No.162/3, East Coast
Road, Kanagachettykulam,, Puducherry",FL1,12.04120000000,79.86850000000,./0.png
79.6316,11.9972,9,Khoday Industries Limited,"568, Thiruvannamalai Road, Kounichampet, Manadipet Commune, Puducherry",FL1,11.99720000000,79.63160000000,./0.png
79.6366,11.9183,10,Spiritz Paradise,"R.S.No. 99/3B, Pondy-Villupuram Main Road, Madagadipet, Mannadipet Commune, Puducherry",FL1,11.91830000000,79.63660000000,./0.png
79.761557,12.002348,11,Amudhasurabi Liquors,"R.S.No.47/3, No10/B & 10/C, Pondy-Mailam Road, Sedurapet village, Puducherry.",FL1,12.00234800000,79.76155700000,./0.png
79.6292,11.9332,12,Modern Wines,"R.S.No.213/3 of Kalitheerthalkuppam Revenue Village, Thirukanur Main Road, Kalitheerthalkuppam, Puducherry",FL2 retail,11.93320000000,79.62920000000,./1.png
79.759121,12.000446,13,Vijaya Wines,"10, Main Road, Sedarapet, Puducherry",FL2 retail,12.00044600000,79.75912100000,./1.png
79.7154219,11.7957414,14,Bangalore Brandy Shop,"Cad.No.886,887,888, R.S.No.1, Kuruvinatham, Puducherry",FL2 retail,11.79574140000,79.71542190000,./1.png
79.7375793,11.7854306,15,Qualithe Wines,"R.S.No.176/2 of Kuruvinathan Revenue Village, Savadi Road, Soriankuppam, Bahour Commune, Puducherry",FL2 retail,11.78543060000,79.73757930000,./1.png
